German_Lemma,Spanish_Translation
ab,desde
Abend,tarde
Abendessen,cena
aber,pero
abfahren,partir
Abfahrt,salida
abfliegen,despegar
Abflug,despegue
abgeben,entregar
abholen,recoger
Absender,remitente
Achtung,atención
Adresse,dirección
alle,todo
allein,solo
also,entonces
alt,viejo
Alter,edad
an,en
anbieten,ofrecer
anderer,otro
Anfang,principio
anfangen,empezar
Angebot,oferta
anklicken,hacer clic
ankommen,llegar
ankreuzen,marcar con una cruz
Ankunft,llegada
anmachen,encender
anmelden,inscribirse
Anmeldung,inscripción
Anrede,tratamiento
Anruf,llamada
anrufen,llamar por teléfono
Ansage,anuncio
Anschluss,conexión
Antwort,respuesta
antworten,responder
Anzeige,anuncio
anziehen,vestir
Apartment,apartamento
Apfel,manzana
Appetit,apetito
Arbeit,trabajo
arbeiten,trabajar
Arm,brazo
Art,tipo
Arzt,médico
Ärztin,médica
auch,también
auf,sobre
Aufgabe,tarea
aufhören,terminar
aufstehen,levantarse
Aufzug,ascensor
Auge,ojo
aus,de
Ausflug,excursión
ausfüllen,rellenar
Ausgang,salida
Auskunft,información
Ausland,extranjero
Ausländer,extranjero
ausmachen,apagar
Aussage,declaración
aussehen,parecer
aussteigen,bajar
Ausweis,documento de identidad
ausziehen,quitarse
Auto,coche
Autobahn,autopista
Automat,cajero automático
Baby,bebé
Bäckerei,panadería
Bad,baño
baden,bañarse
Bahn,tren
Bahnhof,estación de tren
Bahnsteig,andén
bald,pronto
Balkon,balcón
Ball,pelota
Banane,plátano
Bank,banco
bar,en efectivo
Bauch,vientre
Baum,árbol
bedeuten,significar
beginnen,empezar
bei,en
beide,ambos
Bein,pierna
Beispiel,ejemplo
bekannt,famoso
Bekannte,conocido
bekommen,recibir
benutzen,utilizar
bereit,listo
Beruf,profesión
besetzt,ocupado
bestellen,pedir
besuchen,visitar
Bett,cama
bezahlen,pagar
Bier,cerveza
Bild,imagen
billig,barato
Birne,pera
bis,hasta
bisschen,poco
bitte,por favor
bitten,pedir
bitter,amargo
bleiben,quedarse
Bleistift,lápiz
Blick,vista
Blume,flor
Bogen,hoja
böse,enfadado
brauchen,necesitar
breit,ancho
Brief,carta
Briefmarke,sello
bringen,traer
Brot,pan
Brötchen,panecillo
Bruder,hermano
Buch,libro
Buchstabe,letra
Büro,oficina
Bus,autobús
Butter,mantequilla
Café,cafetería
Chef,jefe
circa,aproximadamente
Computer,ordenador
da,ahí
Dame,señora
daneben,al lado
Dank,agradecimiento
danken,agradecer
dann,entonces
Datum,fecha
dauern,durar
dein,tu
denn,porque
deutsch,alemán
dich,te
dieser,este
Ding,cosa
dir,te
Doktor,doctor
Doppelzimmer,habitación doble
Dorf,pueblo
dort,allí
draußen,fuera
drucken,imprimir
Drucker,impresora
drücken,pulsar
durch,a través de
Durchsage,anuncio
Durst,sed
Dusche,ducha
duschen,ducharse
dürfen,poder
eben,justo
Ecke,esquina
Ehefrau,esposa
Ehemann,esposo
Ei,huevo
eilig,con prisa
ein,un
einfach,fácil
Eingang,entrada
einkaufen,ir de compras
einladen,invitar
Einladung,invitación
einmal,una vez
einsteigen,subir
Eintritt,entrada
Einzelzimmer,habitación individual
Eis,hielo
Eltern,padres
E-Mail,correo electrónico
Empfänger,destinatario
empfehlen,recomendar
Ende,final
enden,terminar
endlich,finalmente
Entschuldigung,disculpa
er,él
erklären,explicar
erlauben,permitir
Erwachsene,adulto
erzählen,contar
es,ello
essen,comer
euer,vuestro
Euro,euro
Fahrer,conductor
Fahrkarte,billete
Fahrrad,bicicleta
fallen,caer
falsch,falso
Familie,familia
Familienname,apellido
Familienstand,estado civil
Farbe,color
fast,casi
Fax,fax
fehlen,faltar
Fehler,error
Feier,celebración
feiern,celebrar
Fenster,ventana
Ferien,vacaciones
fernsehen,ver la tele
fertig,listo
Fest,fiesta
Feuer,fuego
Fieber,fiebre
Film,película
finden,encontrar
Firma,empresa
Fisch,pescado
Flasche,botella
Fleisch,carne
fliegen,volar
Flughafen,aeropuerto
Flugzeug,avión
Formular,formulario
Foto,foto
Frage,pregunta
fragen,preguntar
Frau,mujer
frei,libre
Freizeit,tiempo libre
fremd,extranjero
freuen,alegrarse
Freund,amigo
frites,fritas (en Pommes frites)
früh,antes
Frühstück,desayuno
frühstücken,desayunar
Führung,visita guiada
für,para
Fuß,pie
Fußball,fútbol
gar,nada
Garten,jardín
Gast,invitado
gebären,dar a luz
geben,dar
Geburtsjahr,año de nacimiento
Geburtsort,lugar de nacimiento
Geburtstag,cumpleaños
gefallen,gustar
gegen,contra
gehen,ir
gehören,pertenecer
Geld,dinero
Gemüse,verdura
genau,exacto
genauso,igual
Gepäck,equipaje
gerade,recto
geradeaus,todo recto
gern,con gusto
Geschäft,tienda
Geschenk,regalo
Geschwister,hermanos
Gesicht,cara
Gespräch,conversación
gestern,ayer
gesund,sano
Getränk,bebida
Gewicht,peso
gewinnen,ganar
Glas,vaso
glauben,creer
gleich,igual
Gleis,vía
Glück,suerte
glücklich,feliz
Glückwunsch,felicitación
Gott,Dios
Grad,grado
gratulieren,felicitar
grillen,hacer una barbacoa
groß,grande
Großeltern,abuelos
Großmutter,abuela
Großvater,abuelo
Gruppe,grupo
Gruß,saludo
Größe,talla
gültig,válido
günstig,barato
gut,bueno
Haar,pelo
haben,tener
Hähnchen,pollo
Halbpension,media pensión
Halle,vestíbulo
Hals,cuello
halten,parar
Haltestelle,parada
Hand,mano
Handy,móvil
Haus,casa
Hausaufgabe,deberes
Hausfrau,ama de casa
Hausmann,amo de casa
Heimat,patria
heiraten,casarse
heißen,llamarse
helfen,ayudar
hell,claro
Herd,cocina
Herr,señor
Herz,corazón
herzlich,cordial
heute,hoy
hier,aquí
Hilfe,ayuda
hin,hacia
hinten,detrás
Hobby,afición
hoch,alto
Hochzeit,boda
holen,ir a buscar
hören,oír
Hose,pantalones
Hotel,hotel
Hund,perro
Hunger,hambre
ich,yo
Idee,idea
ihr,vosotros
immer,siempre
in,en
Information,información
international,internacional
Internet,internet
ja,sí
Jacke,chaqueta
Jahr,año
jeder,cada
jetzt,ahora
Job,trabajo
Jugendliche,joven
Junge,chico
Kaffee,café
kaputt,roto
Karte,tarjeta
Kartoffel,patata
Kasse,caja
Katze,gato
kaufen,comprar
kaum,apenas
kein,ningún
kennen,conocer
kennenlernen,conocer a alguien
Kind,niño
Kindergarten,guardería
Kino,cine
Kiosk,quiosco
klar,claro
Kleid,vestido
Kleidung,ropa
klein,pequeño
kochen,cocinar
Koffer,maleta
Kollege,colega
kommen,venir
können,poder
Konto,cuenta
Kopf,cabeza
kosten,costar
krank,enfermo
Kreditkarte,tarjeta de crédito
Kuchen,pastel
Küche,cocina
Kühlschrank,nevera
Kugelschreiber,bolígrafo
kulturell,cultural
kümmern,cuidar
Kunde,cliente
Kurs,curso
kurz,corto
lachen,reír
Laden,tienda
Land,país
lang,largo
lange,mucho tiempo
langsam,despacio
laufen,correr
laut,alto
leben,vivir
Lebensmittel,alimento
ledig,soltero
legen,poner
Lehrer,profesor
Lehrerin,profesora
leicht,fácil
leider,lamentablemente
leise,bajo
lernen,aprender
lesen,leer
letzter,último
Leute,gente
Licht,luz
lieb,querido
lieben,amar
lieber,preferiblemente
liegen,estar tumbado
links,izquierda
Lokal,bar
Lösung,solución
Luft,aire
lustig,divertido
machen,hacer
Mädchen,chica
man,se
Mann,hombre
männlich,masculino
Maschine,máquina
Meer,mar
mehr,más
mein,mi
Mensch,persona
Miete,alquiler
mieten,alquilar
Milch,leche
mit,con
mitbringen,traer consigo
mitkommen,acompañar
mitmachen,participar
mitnehmen,llevar consigo
Mitte,centro
Möbel,muebles
möchten,querer
mögen,gustar
möglich,posible
Moment,momento
morgen,mañana
Morgen,mañana (tageszeit)
müde,cansado
Mund,boca
Musik,música
müssen,deber
Mutter,madre
nach,a
Nachmittag,tarde
nächster,próximo
Name,nombre
Nase,nariz
nehmen,coger
nein,no
neu,nuevo
nicht,no
nichts,nada
nie,nunca
noch,todavía
normal,normal
Nummer,número
nur,solo
oben,arriba
Obst,fruta
oder,o
öffnen,abrir
geöffnet,abierto
oft,a menudo
ohne,sin
Ohr,oreja
Öl,aceite
Oma,abuela
Onkel,tío
Opa,abuelo
Ordnung,orden
Ort,lugar
Paar,par
Papier,papel
Park,parque
Partner,pareja
Party,fiesta
Pass,pasaporte
passieren,ocurrir
Pause,pausa
Person,persona
Plan,plan
Platz,plaza
plötzlich,de repente
Polizei,policía
Pommes,patatas fritas
Post,correos
Postleitzahl,código postal
Praktikum,prácticas
Praxis,consulta
Preis,precio
Problem,problema
Prospekt,folleto
Prüfung,examen
pünktlich,puntual
Rad,rueda
rauchen,fumar
Raum,habitación
Rechnung,factura
rechts,derecha
Regen,lluvia
regnen,llover
Reis,arroz
Reise,viaje
Reisebüro,agencia de viajes
Reiseführer,guía de viaje
reisen,viajar
Reparatur,reparación
reparieren,reparar
Restaurant,restaurante
Rezeption,recepción
richtig,correcto
riechen,oler
ruhig,tranquilo
S-Bahn,tren de cercanías
Sache,cosa
Saft,zumo
sagen,decir
Salat,ensalada
Salz,sal
Satz,frase
Schalter,ventanilla
scheinen,brillar
schenken,regalar
schicken,enviar
Schild,señal
Schinken,jamón
schlafen,dormir
schlecht,malo
schließen,cerrar
Schlüssel,llave
schmecken,saber
schnell,rápido
schon,ya
schön,bonito
Schrank,armario
schreiben,escribir
Schuh,zapato
Schule,escuela
Schüler,alumno
schwer,difícil
Schwester,hermana
schwimmen,nadar
Schwimmbad,piscina
See,lago
Seele,alma
sehen,ver
Sehenswürdigkeit,monumento
sehr,muy
sein,ser
seit,desde
Seite,lado
selbstständig,autónomo
sich,se
sie,ella
Sie,usted
sitzen,estar sentado
so,así
Sofa,sofá
sofort,inmediatamente
Sohn,hijo
sollen,deber
Sonne,sol
spät,tarde
später,más tarde
Spiel,juego
spielen,jugar
Sport,deporte
Sprache,idioma
sprechen,hablar
Stadt,ciudad
stehen,estar de pie
Stelle,puesto
stellen,colocar
sterben,morir
stimmen,estar bien
Stock,piso
Straße,calle
Straßenbahn,tranvía
Student,estudiante
studieren,estudiar
Studium,estudios
Stuhl,silla
Stunde,hora
suchen,buscar
Tag,día
Tante,tía
tanzen,bailar
Tasche,bolso
Taxi,taxi
Tee,té
Teil,parte
Telefon,teléfono
telefonieren,telefonear
Termin,cita
teuer,caro
Text,texto
Thema,tema
Ticket,billete
Tisch,mesa
Tochter,hija
Toilette,baño
toll,genial
Tomate,tomate
tot,muerto
treffen,encontrarse
Treppe,escalera
trinken,beber
tschüss,adiós
tun,hacer
Tür,puerta
über,sobre
übernachten,pernoctar
Uhr,reloj
um,a las
umziehen,mudarse
und,y
Unfall,accidente
unser,nuestro
unten,abajo
unter,debajo
Unterricht,clase
Unterschrift,firma
Urlaub,vacaciones
Vater,padre
verbieten,prohibido
verdienen,ganar
Verein,club
vergessen,olvidar
verheiratet,casado
verkaufen,vender
Verkäufer,vendedor
verlieren,perder
vermieten,alquilar
Vermieter,arrendador
verstehen,entender
Verwandte,pariente
viel,mucho
vielleicht,quizás
von,de
vor,delante de
Vorname,nombre
Vorsicht,cuidado
vorstellen,presentar
Vorwahl,prefijo
wahr,verdadero
wahrscheinlich,probablemente
Wald,bosque
wandern,hacer senderismo
wann,cuándo
warten,esperar
warum,por qué
was,qué
waschen,lavar
Wasser,agua
weiblich,femenino
Wein,vino
weinen,llorar
weit,lejos
weiter,continuar
welcher,cuál
Welt,mundo
wenig,poco
wer,quién
werden,llegar a ser
Wetter,tiempo
wichtig,importante
wie,cómo
wieder,otra vez
Wiederhören,hasta luego
wiederholen,repetir
Wiedersehen,hasta la vista
willkommen,bienvenido
Wind,viento
wir,nosotros
wissen,saber
wo,dónde
woher,de dónde
wohin,a dónde
wohnen,vivir
Wohnung,apartamento
wollen,querer
Wort,palabra
wunderbar,maravilloso
Zahl,número
zahlen,pagar
Zeit,tiempo
Zeitung,periódico
Zentrum,centro
Zigarette,cigarrillo
Zimmer,habitación
Zoll,aduana
Zucker,azúcar
zufrieden,satisfecho
Zug,tren
zurück,de vuelta
zusammen,juntos
zwischen,entre
